INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (1, 53, 33, '2022-05-04T17:53:44', '99531.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (33, 3, 26, '2022-09-20T00:04:44', '12125.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (30, 75, 11, '2022-10-10T03:48:58', '8992.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (34, 91, 65, '2022-03-24T23:31:25', '10059.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (36, 84, 100, '2022-09-13T20:18:49', '26566.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (35, 99, 90, '2022-07-26T17:19:47', '50626.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (38, 91, 89, '2022-04-13T15:29:30', '78146.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (32, 91, 87, '2021-12-11T16:50:07', '8848.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (37, 87, 60, '2022-01-01T23:03:28', '47150.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (40, 2, 36, '2021-12-26T11:52:26', '69806.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (41, 23, 99, '2022-10-05T21:02:57', '50552.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (39, 68, 9, '2022-02-20T08:03:11', '96588.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (43, 67, 55, '2022-03-26T17:57:55', '36732.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (44, 91, 31, '2022-07-29T16:04:37', '99554.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (45, 71, 1, '2022-10-25T09:21:27', '56722.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (46, 35, 65, '2022-06-02T20:46:17', '13698.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (47, 41, 15, '2022-02-28T01:46:38', '38888.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (42, 3, 25, '2022-07-28T17:44:09', '20771.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (48, 90, 78, '2022-11-14T22:09:57', '13737.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (51, 93, 74, '2022-07-23T04:58:20', '13858.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (50, 13, 41, '2022-02-18T11:57:26', '48873.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (49, 0, 28, '2022-08-02T19:28:07', '6174.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (52, 21, 7, '2022-04-04T15:50:24', '77577.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (53, 83, 46, '2022-07-17T07:58:31', '19248.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (56, 28, 53, '2022-11-02T18:23:54', '44686.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (57, 82, 60, '2022-08-19T20:29:56', '2038.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (54, 11, 22, '2022-10-19T02:21:45', '29719.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (55, 13, 25, '2022-06-17T18:47:20', '10342.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (58, 95, 60, '2022-02-14T01:21:12', '43561.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (59, 13, 49, '2022-08-22T16:08:45', '1208.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (60, 60, 61, '2022-09-27T20:18:27', '64212.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (61, 95, 53, '2022-05-08T12:35:10', '39956.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (62, 30, 75, '2021-12-16T04:25:56', '20733.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (63, 50, 61, '2022-10-06T16:51:37', '74417.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (66, 78, 19, '2022-07-19T14:37:55', '30921.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (64, 34, 49, '2022-08-09T16:16:09', '8301.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (67, 54, 40, '2022-07-17T16:03:02', '25106.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (65, 84, 41, '2021-11-26T19:22:16', '64656.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (68, 79, 4, '2022-03-30T18:57:10', '54521.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (69, 30, 10, '2022-04-08T00:06:18', '42245.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (70, 35, 95, '2022-09-14T22:58:27', '50388.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (71, 40, 47, '2021-11-21T09:05:54', '13322.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (73, 27, 69, '2022-05-11T08:57:56', '43720.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (75, 16, 26, '2021-11-30T14:33:03', '84262.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (76, 92, 6, '2022-08-23T19:12:10', '48428.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (74, 52, 82, '2022-07-12T02:48:42', '68890.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (78, 2, 94, '2022-05-01T17:15:26', '76245.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (77, 82, 57, '2022-11-02T16:02:14', '50921.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (72, 3, 94, '2022-05-31T19:41:57', '95806.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (80, 34, 45, '2022-03-17T07:11:20', '61396.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (82, 33, 18, '2022-01-30T08:02:14', '43411.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (81, 51, 7, '2022-01-31T00:03:21', '59387.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (83, 52, 17, '2022-09-28T03:52:37', '84905.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (85, 67, 28, '2022-07-07T08:10:58', '68791.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (79, 4, 88, '2022-10-28T13:47:06', '53969.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (84, 24, 67, '2022-10-25T01:44:25', '67273.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (88, 47, 86, '2021-11-20T20:02:21', '9400.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (87, 40, 20, '2022-10-07T11:17:23', '76988.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (89, 9, 18, '2022-11-11T13:02:36', '45509.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (90, 23, 58, '2022-05-07T13:48:22', '95284.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (91, 82, 93, '2022-03-05T18:52:12', '47242.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (93, 1, 67, '2022-04-10T23:01:25', '63823.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (86, 46, 8, '2022-10-25T12:02:40', '11406.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (94, 32, 14, '2022-09-15T00:30:08', '60659.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (96, 28, 53, '2022-03-01T08:59:17', '19174.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (97, 72, 32, '2022-02-10T13:25:23', '24232.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (98, 73, 18, '2022-07-07T01:17:24', '97918.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (99, 4, 73, '2022-01-03T00:23:27', '71050.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (95, 26, 87, '2022-03-16T16:48:18', '85590.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (101, 41, 6, '2022-01-30T18:53:28', '46952.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (100, 40, 9, '2022-09-12T02:58:53', '62487.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (102, 18, 69, '2022-05-31T15:57:04', '44174.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (103, 11, 60, '2022-11-10T06:30:37', '36590.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (104, 98, 100, '2021-12-09T20:05:34', '11784.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (92, 7, 6, '2022-02-24T00:07:30', '93481.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (105, 48, 68, '2022-03-30T08:46:02', '64404.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (106, 31, 4, '2022-05-18T15:20:30', '50740.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (107, 93, 20, '2022-06-15T15:17:23', '51331.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (110, 87, 57, '2022-02-01T23:34:21', '71741.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (111, 2, 80, '2022-08-10T16:56:08', '31742.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (109, 44, 71, '2022-11-03T05:45:02', '28711.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (112, 24, 77, '2022-01-09T14:02:01', '19594.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (108, 15, 6, '2022-05-06T02:59:50', '67444.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (113, 71, 48, '2022-08-20T20:08:16', '91685.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (116, 97, 11, '2022-04-17T22:40:33', '70785.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (114, 60, 13, '2022-07-13T11:11:09', '8836.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (117, 52, 23, '2022-09-21T11:50:30', '63307.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (118, 13, 9, '2022-10-16T10:11:49', '61109.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (120, 32, 84, '2022-07-13T07:26:20', '42393.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (115, 7, 26, '2022-09-20T10:08:06', '90428.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (119, 5, 36, '2021-12-20T08:54:20', '86688.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (122, 10, 87, '2022-10-05T09:26:35', '40599.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (121, 64, 93, '2022-03-08T07:30:19', '78615.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (125, 87, 3, '2022-07-10T04:20:03', '94228.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (123, 30, 80, '2022-03-21T17:32:58', '51169.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (124, 39, 26, '2022-07-20T05:16:06', '63828.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (126, 73, 11, '2022-03-17T09:03:27', '83023.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (127, 56, 68, '2022-05-09T22:50:35', '91005.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (129, 32, 95, '2022-07-11T15:08:53', '72731.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (128, 65, 2, '2022-09-10T16:40:25', '30149.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (131, 77, 87, '2021-12-15T13:58:18', '52675.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (133, 85, 59, '2021-12-08T15:15:30', '83481.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (130, 21, 33, '2021-11-17T20:13:05', '77308.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (132, 17, 13, '2021-11-26T02:06:48', '84944.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (134, 43, 79, '2022-02-09T07:33:37', '10643.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (137, 20, 78, '2022-04-13T17:55:50', '9379.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (136, 24, 62, '2022-08-02T18:39:21', '66889.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (135, 7, 11, '2022-04-18T19:43:29', '7734.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (138, 62, 83, '2022-04-06T22:06:45', '46638.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (141, 72, 68, '2021-11-25T16:57:06', '96475.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (142, 22, 43, '2022-03-28T07:40:24', '68687.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (139, 61, 30, '2022-07-20T04:25:04', '46465.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (144, 29, 99, '2022-09-22T10:26:59', '1945.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (143, 73, 99, '2022-10-12T08:51:11', '80734.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (140, 65, 78, '2021-12-14T01:22:23', '88277.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (145, 80, 27, '2022-02-18T04:24:04', '20636.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (146, 54, 33, '2022-01-21T01:38:06', '27871.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (149, 22, 16, '2022-10-22T09:32:19', '37902.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (147, 29, 75, '2022-05-18T14:46:08', '1053.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (148, 69, 48, '2021-12-13T00:07:15', '48989.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (150, 18, 24, '2022-01-10T10:41:05', '52773.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (153, 91, 18, '2022-01-10T03:08:54', '70573.00')
INSERT INTO transaksi_pembelian (t_pembelian_id, pg_id, sp_id, t_pembelian_waktu, total_harga_pembelian) VALUES (154, 3, 95, '2022-01-20T08:39:55', '34866.00')
